1991,1992,1993,1994
0.063521107,0.033932437,0.085108325,0.07337062
-0.779546986,-0.803024869,-0.861882985,-0.924832724
-0.626564216,-0.601329275,-0.401013881,-0.128189671
0.773560704,0.678723075,0.60121859,0.553276074
-0.087798807,-0.048651586,-0.034843907,-0.08819755
-0.910912626,-0.89990228,-0.964473711,-1.040010033
-0.448638602,-0.725205309,-0.781388724,-0.824052579
-0.398752916,-0.421867842,-0.486243099,-0.544107731
0.642195064,0.537377344,0.411820328,0.356514838
0.038578264,-0.00577142,-0.082193473,-0.126589986
0.203201027,0.367444836,0.635941605,0.391707904
-0.453627171,-0.479041396,-0.508339563,-0.508914664
-0.476907158,-0.501275556,-0.535170983,-0.542508046
-0.599958517,-0.615622664,-0.666171448,-0.71207464
-0.701392745,-0.709323766,-0.749822347,-0.777661718
-0.774558417,-0.7776144,-0.835051565,-0.644887876
-0.556724255,-0.574330653,-0.629870114,-0.683280312
-0.27902727,-0.301168116,-0.375760779,-0.425731052
1.41376034,1.175815364,1.186774884,0.986790667
0.635543639,0.508790567,0.373940675,0.263733117
0.307960968,0.203864945,0.129301253,0.090967153
-0.786198411,-0.526686024,-0.44362849,-0.491318131
1.016337709,1.024940708,0.736954011,0.244536898
0.469258019,0.270567425,0.342374298,0.430100341
1.407108915,1.290162472,1.30199216,1.1099664
2.034005702,1.849192779,1.835463932,1.402708727
-0.86102694,-0.861786577,-0.879244493,-0.880041548
-1.060569684,-1.052365091,-1.098630813,-0.13778778
-0.691415607,-0.715676383,-0.784545362,-0.851247221
-1.043941122,-1.036483548,-0.737195796,-0.592098276
-1.088838239,-1.092068948,-1.147558697,-1.131192069
-0.809478398,-0.812553795,-0.819268376,-0.947228312
-1.063895396,-1.082540022,-1.147558697,-1.231972215
-0.239118721,-0.274169494,-0.33314617,-0.328150277
-0.789524123,-0.812553795,-0.871352898,-0.948827997
0.181583897,0.116516459,0.058276905,0.014182281
-0.839409809,-0.861786577,-0.931329015,-1.000017912
2.090542813,1.96830435,1.882813497,1.841022375
1.601663091,1.445801592,1.377751465,1.375514085
-0.192558748,-0.245582717,-0.312628025,-0.29615658
-0.570027105,-0.59180035,-0.655123216,-0.713674324
-0.420370047,-0.445690156,-0.505182925,-0.560104579
1.227520446,1.047174868,0.907412447,0.740439201
-0.420370047,-0.442513847,-0.494134693,-0.518512773
-0.501850001,-0.523509716,-0.557267447,-0.566503319
4.796009849,4.568112907,4.524919254,4.571684407
-0.608272798,-0.636268669,-0.661436491,-0.662484409
-1.02731256,-1.020602005,0.904255809,0.863614934
-0.964124024,-0.8887852,-0.906075913,-0.787259827
-0.761255568,-0.162998694,1.361968276,1.647460509
-0.709707026,-0.861786577,-0.948690522,-0.947228312
0.884972069,0.851831891,0.79377349,0.726042037
-0.894284064,-0.623563435,-0.689846231,-0.416132943
-0.387112923,-0.418691533,-0.472038229,-0.513713719
-1.06223254,-1.074599251,-1.141245422,-1.214375681
0.640532208,0.618373212,0.629628329,0.572472292
